Time; Input; Output
0; 0; 0,61175344
0,06; 0; 0,60157694
0,12; 0; 0,60976509
0,18; 0; 0,58817535
0,24; 0; 0,59135825
0,3; 0; 0,60408661
0,36; 0; 0,59860008
0,42; 0; 0,61317274
0,48; 0; 0,59705234
0,54; 0; 0,58565935
0,6; 0; 0,6045133
0,66; 0; 0,5854539
0,72; 0; 0,59172816
0,78; 0; 0,58602341
0,84; 0; 0,57626044
0,9; 0; 0,6059277
0,96; 0; 0,59374551
1,02; 0; 0,58475204
1,08; 0; 0,59831146
1,14; 0; 0,58064615
1,2; 0; 0,58855177
1,26; 0; 0,58707537
1,32; 0; 0,59193631
1,38; 0; 0,59178581
1,44; 0; 0,60159895
1,5; 0; 0,58795768
1,56; 0; 0,57933513
1,62; 0; 0,59766199
1,68; 0; 0,59808063
1,74; 0; 0,6079563
1,8; 0; 0,58740386
1,86; 0; 0,60057061
1,92; 0; 0,60501436
1,98; 0; 0,61946416
2,04; 0; 0,57765121
2,1; 0; 0,60733097
2,16; 0; 0,58281862
2,22; 0; 0,60652825
2,28; 0; 0,57735613
2,34; 0; 0,59265252
2,4; 0; 0,58251272
2,46; 0; 0,59535806
2,52; 0; 0,5957086
2,58; 0; 0,58212837
2,64; 0; 0,58099461
2,7; 0; 0,58878935
2,76; 0; 0,59336176
2,82; 0; 0,59663109
2,88; 0; 0,59160731
2,94; 0; 0,56267489
3; 0; 0,58569991
3,06; 0; 0,56450459
3,12; 0; 0,57962814
3,18; 0; 0,5837192
3,24; 0; 0,59671457
3,3; 0; 0,57926205
3,36; 0; 0,58561866
3,42; 0; 0,57064108
3,48; 0; 0,58809441
3,54; 0; 0,60409789
3,6; 0; 0,58478751
3,66; 0; 0,57919974
3,72; 0; 0,58212426
3,78; 0; 0,59223342
3,84; 0; 0,57563994
3,9; 0; 0,58310969
3,96; 0; 0,59075939
4,02; 0; 0,59182254
4,08; 0; 0,55826732
4,14; 0; 0,57415534
4,2; 0; 0,54537951
4,26; 0; 0,56683916
4,32; 0; 0,57225615
4,38; 0; 0,56011666
4,44; 0; 0,57367308
4,5; 0; 0,56655368
4,56; 0; 0,58030988
4,62; 0; 0,57234261
4,68; 0; 0,56936031
4,74; 0; 0,56416023
4,8; 0; 0,55201428
4,86; 0; 0,57989015
4,92; 0; 0,56435744
4,98; 0; 0,56318475
5,04; 0; 0,56901642
5,1; 0; 0,54765768
5,16; 0; 0,56639669
5,22; 0; 0,5560675
5,28; 0; 0,56747455
5,34; 0; 0,57376187
5,4; 0; 0,54006973
5,46; 0; 0,55844759
5,52; 0; 0,55351704
5,58; 0; 0,52800783
5,64; 0; 0,55205696
5,7; 0; 0,53659781
5,76; 0; 0,54367796
5,82; 0; 0,54070047
5,88; 0; 0,53490662
5,94; 0; 0,54785766
6; 0,2; 0,53121605
6,06; 0,2; 0,53382987
6,12; 0,2; 0,53257149
6,18; 0,2; 0,51400899
6,24; 0,2; 0,50413436
6,3; 0,2; 0,49179126
6,36; 0,2; 0,48827594
6,42; 0,2; 0,45344691
6,48; 0,2; 0,43198311
6,54; 0,2; 0,38965136
6,6; 0,2; 0,31836298
6,66; 0,2; 0,29426515
6,72; 0,2; 0,23683231
6,78; 0,2; 0,17460661
6,84; 0,2; 0,13030667
6,9; 0,2; 0,065752485
6,96; 0,2; -0,0043872061
7,02; 0,2; -0,081552495
7,08; 0,2; -0,15782308
7,14; 0,2; -0,20953046
7,2; 0,2; -0,30214732
7,26; 0,2; -0,39939415
7,32; 0,2; -0,48343802
7,38; 0,2; -0,56195839
7,44; 0,2; -0,63690202
7,5; 0,2; -0,73300624
7,56; 0,2; -0,83984828
7,62; 0,2; -0,90180911
7,68; 0,2; -1,0019264
7,74; 0,2; -1,0987266
7,8; 0,2; -1,2088627
7,86; 0,2; -1,296177
7,92; 0,2; -1,4067309
7,98; 0,2; -1,4935413
