time,automatic,temperature,setpoint,output,error,integral,derivative
0,0,28.25,93,0,66.5,0,-1
0.25,0,28.25,93,0,66.5,0,-1
0.5,0,28.25,93,0,66.5,0,-1
0.75,0,30.5,93,0,66.5,0,-1
1,0,30.5,93,0,66.5,0,-1
1.25,0,30.5,93,0,66.5,0,-1
1.5,0,30.5,93,0,66.5,0,-1
1.75,0,30.25,93,0,66.5,0,-1
2,0,30.25,93,0,66.5,0,-1
2.25,0,30.25,93,0,66.5,0,-1
2.5,0,30.25,93,0,66.5,0,-1
2.75,0,29.5,93,0,66.5,0,-1
3,0,29.5,93,0,66.5,0,-1
3.25,0,29.5,93,0,66.5,0,-1
3.5,0,29.5,93,0,66.5,0,-1
3.75,0,29.25,93,0,66.5,0,-1
4,0,29.25,93,0,66.5,0,-1
4.25,0,29.25,93,0,66.5,0,-1
4.5,0,29.25,93,0,66.5,0,-1
4.75,0,28.25,93,0,66.5,0,-1
5,0,28.25,93,0,66.5,0,-1
5.25,0,28.25,93,0,66.5,0,-1
5.5,0,28.25,93,0,66.5,0,-1
5.75,0,29.25,93,0,66.5,0,-1
6,0,29.25,93,0,66.5,0,-1
6.25,0,29.25,93,0,66.5,0,-1
6.5,0,29.25,93,0,66.5,0,-1
6.75,0,29.25,93,0,66.5,0,-1
7,0,29.25,93,0,66.5,0,-1
7.25,0,29.25,93,0,66.5,0,-1
7.5,0,29.25,93,0,66.5,0,-1
7.75,0,28,93,0,66.5,0,-1
8,0,28,93,0,66.5,0,-1
8.25,0,28,93,0,66.5,0,-1
8.5,0,28,93,0,66.5,0,-1
8.75,0,28,93,0,66.5,0,-1
9,0,28,93,0,66.5,0,-1
9.25,0,28,93,0,66.5,0,-1
9.5,0,28,93,0,66.5,0,-1
9.75,0,24.5,93,0,66.5,0,-1
10,0,24.5,93,0,66.5,0,-1
10.25,0,24.5,93,0,66.5,0,-1
10.5,0,24.5,93,0,66.5,0,-1
10.75,0,25.25,93,0,66.5,0,-1
11,0,25.25,93,0,66.5,0,-1
11.25,0,25.25,93,0,66.5,0,-1
11.5,0,25.25,93,0,66.5,0,-1
11.75,0,24.5,93,0,66.5,0,-1
12,1,24.5,93,0,66.5,0,-1
12.25,1,24.5,93,0,66.5,0,-1
12.5,1,24.5,93,0,66.5,0,-1
12.75,1,29.25,93,255,63.75,15.9375,255
13,1,29.25,93,255,63.75,15.9375,255
13.25,1,29.25,93,255,63.75,15.9375,255
13.5,1,29.25,93,255,63.75,15.9375,255
13.75,1,25,93,204,68,65.5,0
14,1,25,93,204,68,65.5,0
14.25,1,25,93,204,68,65.5,0
14.5,1,25,93,204,68,65.5,0
14.75,1,25.75,93,205,67.25,130.75,7
15,1,25.75,93,205,67.25,130.75,7
15.25,1,25.75,93,205,67.25,130.75,7
15.5,1,25.75,93,205,67.25,130.75,7
