time,Status,kp,ki,kd,setpoint,output,temperature,error,integral,derivative
0,0,2,0.005,0.5,93,0,36.25,65.5,0,4
0.25,0,2,0.005,0.5,93,0,36.25,65.5,0,4
0.5,0,2,0.005,0.5,93,0,35.75,65.5,0,4
0.75,0,2,0.005,0.5,93,0,35.75,65.5,0,4
1,0,2,0.005,0.5,93,0,35.75,65.5,0,4
1.25,0,2,0.005,0.5,93,0,35.75,65.5,0,4
1.5,0,2,0.005,0.5,93,0,36.25,65.5,0,4
1.75,0,2,0.005,0.5,93,0,36.25,65.5,0,4
2,0,2,0.005,0.5,93,0,36.25,65.5,0,4
2.25,0,2,0.005,0.5,93,0,36.25,65.5,0,4
2.5,0,2,0.005,0.5,93,0,36.5,65.5,0,4
2.75,0,2,0.005,0.5,93,0,36.5,65.5,0,4
3,0,2,0.005,0.5,93,0,36.5,65.5,0,4
3.25,0,2,0.005,0.5,93,0,36.5,65.5,0,4
3.5,0,2,0.005,0.5,93,0,36.25,65.5,0,4
3.75,0,2,0.005,0.5,93,0,36.25,65.5,0,4
4,0,2,0.005,0.5,93,0,36.25,65.5,0,4
4.25,0,2,0.005,0.5,93,0,36.25,65.5,0,4
4.5,0,2,0.005,0.5,93,0,36.75,65.5,0,4
4.75,0,2,0.005,0.5,93,0,36.75,65.5,0,4
5,0,2,0.005,0.5,93,0,36.75,65.5,0,4
5.25,0,2,0.005,0.5,93,0,36.75,65.5,0,4
5.5,0,2,0.005,0.5,93,0,36.5,65.5,0,4
5.75,0,2,0.005,0.5,93,0,36.5,65.5,0,4
6,0,2,0.005,0.5,93,0,36.5,65.5,0,4
6.25,0,2,0.005,0.5,93,0,36.5,65.5,0,4
6.5,0,2,0.005,0.5,93,0,36.75,65.5,0,4
6.75,0,2,0.005,0.5,93,0,36.75,65.5,0,4
7,0,2,0.005,0.5,93,0,36.75,65.5,0,4
7.25,0,2,0.005,0.5,93,0,36.75,65.5,0,4
7.5,0,2,0.005,0.5,93,0,36.5,65.5,0,4
7.75,0,2,0.005,0.5,93,0,36.5,65.5,0,4
8,0,2,0.005,0.5,93,0,36.5,65.5,0,4
8.25,0,2,0.005,0.5,93,0,36.5,65.5,0,4
8.5,0,2,0.005,0.5,93,0,36.75,65.5,0,4
8.75,0,2,0.005,0.5,93,0,36.75,65.5,0,4
9,0,2,0.005,0.5,93,0,36.75,65.5,0,4
9.25,0,2,0.005,0.5,93,0,36.75,65.5,0,4
9.5,0,2,0.005,0.5,93,0,35.75,65.5,0,4
9.75,0,2,0.005,0.5,93,0,35.75,65.5,0,4
10,0,2,0.005,0.5,93,0,35.75,65.5,0,4
10.25,0,2,0.005,0.5,93,0,34,65.5,0,4
10.5,0,2,0.005,0.5,93,0,34,65.5,0,4
10.75,0,2,0.005,0.5,93,0,34,65.5,0,4
11,0,2,0.005,0.5,93,0,34,65.5,0,4
11.25,0,2,0.005,0.5,93,0,36.25,65.5,0,4
11.5,0,2,0.005,0.5,93,0,36.25,65.5,0,4
11.75,0,2,0.005,0.5,93,0,36.25,65.5,0,4
12,0,2,0.005,0.5,93,0,36.25,65.5,0,4
12.25,0,2,0.005,0.5,93,0,36.75,65.5,0,4
12.5,0,2,0.005,0.5,93,0,36.75,65.5,0,4
12.75,0,2,0.005,0.5,93,0,36.75,65.5,0,4
13,0,2,0.005,0.5,93,0,36.75,65.5,0,4
13.25,0,2,0.005,0.5,93,0,35.25,65.5,0,4
13.5,0,2,0.005,0.5,93,0,35.25,65.5,0,4
13.75,0,2,0.005,0.5,93,0,35.25,65.5,0,4
14,1,2,0.005,0.5,93,0,35.25,65.5,0,4
14.25,1,2,0.005,0.5,93,0,36.25,65.5,0,4
14.5,1,2,0.005,0.5,93,0,36.25,65.5,0,4
14.75,1,2,0.005,0.5,93,0,36.25,65.5,0,4
15,1,2,0.005,0.5,93,0,36.25,65.5,0,4
15.25,1,2,0.005,0.5,93,118,34.25,58.75,44.25,2
15.5,1,2,0.005,0.5,93,118,34.25,58.75,44.25,2
15.75,1,2,0.005,0.5,93,118,34.25,58.75,44.25,2
16,1,2,0.005,0.5,93,118,34.25,58.75,44.25,2
16.25,1,2,0.005,0.5,93,117,35.25,57.75,101.375,3
16.5,1,2,0.005,0.5,93,117,35.25,57.75,101.375,3
16.75,1,2,0.005,0.5,93,117,35.25,57.75,101.375,3
17,1,2,0.005,0.5,93,117,35.25,57.75,101.375,3
17.25,1,2,0.005,0.5,93,122,34,59,158.875,8
17.5,1,2,0.005,0.5,93,122,34,59,158.875,8
17.75,1,2,0.005,0.5,93,122,34,59,158.875,8
18,1,2,0.005,0.5,93,122,34,59,158.875,8
18.25,1,2,0.005,0.5,93,113,35.25,57.75,216.625,-6
18.5,1,2,0.005,0.5,93,113,35.25,57.75,216.625,-6
18.75,1,2,0.005,0.5,93,113,35.25,57.75,216.625,-6
19,1,2,0.005,0.5,93,113,35.25,57.75,216.625,-6
19.25,1,2,0.005,0.5,93,113,35.25,57.75,216.625,-6
19.5,1,2,0.005,0.5,93,115,35.25,57.75,288.5625,-2
19.75,1,2,0.005,0.5,93,115,35.25,57.75,288.5625,-2
20,1,2,0.005,0.5,93,115,35.25,57.75,288.5625,-2
20.25,1,2,0.005,0.5,93,115,35.25,57.75,288.5625,-2
20.5,1,2,0.005,0.5,93,116,35.25,57.75,346.75,-2
20.75,1,2,0.005,0.5,93,116,35.25,57.75,346.75,-2
21,1,2,0.005,0.5,93,116,35.25,57.75,346.75,-2
21.25,1,2,0.005,0.5,93,116,35.25,57.75,346.75,-2
21.5,1,2,0.005,0.5,93,116,35,58,404.75,-3
21.75,1,2,0.005,0.5,93,116,35,58,404.75,-3
22,1,2,0.005,0.5,93,116,35,58,404.75,-3
22.25,1,2,0.005,0.5,93,116,35,58,404.75,-3
22.5,1,2,0.005,0.5,93,115,35,58,448.6875,-5
22.75,1,2,0.005,0.5,93,115,35,58,448.6875,-5
23,1,2,0.005,0.5,93,115,35,58,448.6875,-5
23.25,1,2,0.005,0.5,93,115,35,58,448.6875,-5
23.5,1,2,0.005,0.5,93,117,35,58,521.1875,-3
23.75,1,2,0.005,0.5,93,117,35,58,521.1875,-3
24,1,2,0.005,0.5,93,117,35,58,521.1875,-3
24.25,1,2,0.005,0.5,93,117,35,58,521.1875,-3
24.5,1,2,0.005,0.5,93,112,36.5,56.5,579.0625,-6
24.75,1,2,0.005,0.5,93,112,36.5,56.5,579.0625,-6
25,1,2,0.005,0.5,93,112,36.5,56.5,579.0625,-6
25.25,1,2,0.005,0.5,93,112,36.5,56.5,579.0625,-6
25.5,1,2,0.005,0.5,93,118,36,57,636.3125,2
25.75,1,2,0.005,0.5,93,118,36,57,636.3125,2
26,1,2,0.005,0.5,93,118,36,57,636.3125,2
26.25,1,2,0.005,0.5,93,118,36,57,636.3125,2
26.5,1,2,0.005,0.5,93,110,36.75,56.25,694.375,-10
26.75,1,2,0.005,0.5,93,110,36.75,56.25,694.375,-10
27,1,2,0.005,0.5,93,110,36.75,56.25,694.375,-10
27.25,1,2,0.005,0.5,93,110,36.75,56.25,694.375,-10
27.5,1,2,0.005,0.5,93,110,36.5,56.5,737.875,-12
27.75,1,2,0.005,0.5,93,110,36.5,56.5,737.875,-12
28,1,2,0.005,0.5,93,110,36.5,56.5,737.875,-12
28.25,1,2,0.005,0.5,93,110,36.5,56.5,737.875,-12
28.5,1,2,0.005,0.5,93,116,35.75,57.25,809.5625,-5
28.75,1,2,0.005,0.5,93,116,35.75,57.25,809.5625,-5
29,1,2,0.005,0.5,93,116,35.75,57.25,809.5625,-5
29.25,1,2,0.005,0.5,93,116,35.75,57.25,809.5625,-5
29.5,1,2,0.005,0.5,93,116,36.25,56.75,867.375,-3
29.75,1,2,0.005,0.5,93,116,36.25,56.75,867.375,-3
30,1,2,0.005,0.5,93,116,36.25,56.75,867.375,-3
30.25,1,2,0.005,0.5,93,116,36.25,56.75,867.375,-3
30.5,1,2,0.005,0.5,93,120,35.75,57.25,924.5625,3
30.75,1,2,0.005,0.5,93,120,35.75,57.25,924.5625,3
31,1,2,0.005,0.5,93,120,35.75,57.25,924.5625,3
