time,status,kp,ki,kd,setpoint,output,temperature,error,integral,derivative
0,3,2,0.01,0.5,93,88,49,44,32.875,1
0.297,3,2,0.01,0.5,93,88,49,44,43.875,0
0.586,3,2,0.01,0.5,93,89,48.75,44.25,54.9375,1
0.874,3,2,0.01,0.5,93,89,49,44,76.875,1
1.225,3,2,0.01,0.5,93,90,48.5,44.5,88,2
1.512,3,2,0.01,0.5,93,86,49.25,43.75,98.9375,-3
1.8,3,2,0.01,0.5,93,89,49,44,109.938,1
2.088,3,2,0.01,0.5,93,90,48.75,44.25,121,1
2.375,3,2,0.01,0.5,93,88,49,44,143.063,-1
2.727,3,2,0.01,0.5,93,87,49.5,43.5,153.938,-2
3.014,3,2,0.01,0.5,93,89,49.25,43.75,164.875,1
3.302,3,2,0.01,0.5,93,90,49,44,175.875,1
3.59,3,2,0.01,0.5,93,89,49,44,186.875,0
3.878,3,2,0.01,0.5,93,89,49.25,43.75,208.75,0
4.229,3,2,0.01,0.5,93,89,49.25,43.75,219.688,0
4.517,3,2,0.01,0.5,93,90,49,44,230.688,1
4.805,3,2,0.01,0.5,93,89,49.25,43.75,241.625,-1
5.093,3,2,0.01,0.5,93,90,49.25,43.75,252.563,0
5.381,3,2,0.01,0.5,93,88,49.75,43.25,274.313,-2
5.733,3,2,0.01,0.5,93,92,49,44,285.313,3
6.036,3,2,0.01,0.5,93,90,49,44,296.313,0
6.323,3,2,0.01,0.5,93,89,49.5,43.5,307.188,-2
6.61,3,2,0.01,0.5,93,90,49.25,43.75,329.125,-1
6.947,3,2,0.01,0.5,93,89,49.5,43.5,340,-1
7.25,3,2,0.01,0.5,93,89,49.75,43.25,350.813,-1
7.538,3,2,0.01,0.5,93,91,49.5,43.5,361.688,1
7.826,3,2,0.01,0.5,93,90,49.5,43.5,372.563,0
8.113,3,2,0.01,0.5,93,91,49.5,43.5,394.25,1
8.449,3,2,0.01,0.5,93,91,49.5,43.5,405.125,0
8.753,3,2,0.01,0.5,93,92,49.25,43.75,416.063,1
9.041,3,2,0.01,0.5,93,89,49.75,43.25,426.875,-2
9.328,3,2,0.01,0.5,93,91,49.5,43.5,437.75,1
9.616,3,2,0.01,0.5,93,89,50,43,459.438,-3
9.951,3,2,0.01,0.5,93,91,49.75,43.25,470.25,1
10.256,3,2,0.01,0.5,93,91,49.75,43.25,481.063,0
10.543,3,2,0.01,0.5,93,91,49.75,43.25,491.875,0
10.83,3,2,0.01,0.5,93,92,49.5,43.5,502.75,1
11.118,3,2,0.01,0.5,93,90,50,43,524.313,-1
11.454,3,2,0.01,0.5,93,93,49.5,43.5,535.188,2
11.758,3,2,0.01,0.5,93,91,49.75,43.25,546,-1
12.045,3,2,0.01,0.5,93,93,49.5,43.5,556.875,1
12.333,3,2,0.01,0.5,93,90,50,43,567.625,-2
12.621,3,2,0.01,0.5,93,91,50,43,589.125,0
12.957,3,2,0.01,0.5,93,90,50.25,42.75,599.813,-1
13.26,3,2,0.01,0.5,93,92,50,43,610.563,1
13.548,3,2,0.01,0.5,93,92,50,43,621.313,0
13.836,3,2,0.01,0.5,93,92,50,43,632.063,0
14.123,3,2,0.01,0.5,93,90,50.5,42.5,653.438,-2
14.459,3,2,0.01,0.5,93,92,50.25,42.75,664.125,1
14.762,3,2,0.01,0.5,93,92,50.25,42.75,674.813,0
15.051,3,2,0.01,0.5,93,94,49.75,43.25,685.625,2
15.338,3,2,0.01,0.5,93,91,50.25,42.75,696.313,-2
15.626,3,2,0.01,0.5,93,93,50,43,717.75,1
15.962,3,2,0.01,0.5,93,91,50.5,42.5,728.375,-2
16.265,3,2,0.01,0.5,93,92,50.5,42.5,739,0
16.552,3,2,0.01,0.5,93,93,50.25,42.75,749.688,1
16.841,3,2,0.01,0.5,93,93,50.25,42.75,760.375,0
17.128,3,2,0.01,0.5,93,92,50.5,42.5,781.625,0
17.464,3,2,0.01,0.5,93,92,50.5,42.5,792.25,0
17.767,3,2,0.01,0.5,93,95,50,43,803,2
18.055,3,2,0.01,0.5,93,91,50.75,42.25,813.563,-3
18.344,3,2,0.01,0.5,93,93,50.5,42.5,824.188,1
18.647,3,2,0.01,0.5,93,92,50.75,42.25,845.313,0
18.999,3,2,0.01,0.5,93,93,50.75,42.25,855.875,0
19.303,3,2,0.01,0.5,93,92,51,42,866.375,-1
19.606,3,2,0.01,0.5,93,92,51,42,876.875,0
19.894,3,2,0.01,0.5,93,93,50.75,42.25,898,0
20.245,3,2,0.01,0.5,93,92,51,42,908.5,-1
20.533,3,2,0.01,0.5,93,94,50.75,42.25,919.063,1
20.82,3,2,0.01,0.5,93,92,51,42,929.563,-1
21.108,3,2,0.01,0.5,93,95,50.5,42.5,940.188,2
21.396,3,2,0.01,0.5,93,93,51,42,961.25,-1
21.747,3,2,0.01,0.5,93,92,51.25,41.75,971.688,-1
22.036,3,2,0.01,0.5,93,93,51.25,41.75,982.125,0
22.323,3,2,0.01,0.5,93,93,51.25,41.75,992.563,0
22.611,3,2,0.01,0.5,93,93,51.25,41.75,1003,0
22.899,3,2,0.01,0.5,93,93,51.5,41.5,1023.75,0
23.251,3,2,0.01,0.5,93,93,51.5,41.5,1034.13,0
23.538,3,2,0.01,0.5,93,93,51.5,41.5,1044.5,0
23.826,3,2,0.01,0.5,93,95,51,42,1055,2
24.113,3,2,0.01,0.5,93,93,51.25,41.75,1065.44,-1
24.4,3,2,0.01,0.5,93,94,51.5,41.5,1086.13,1
24.753,3,2,0.01,0.5,93,93,51.5,41.5,1096.5,0
25.041,3,2,0.01,0.5,93,94,51.5,41.5,1106.88,0
25.328,3,2,0.01,0.5,93,92,52,41,1117.13,-2
25.615,3,2,0.01,0.5,93,93,52,41,1127.38,0
25.904,3,2,0.01,0.5,93,93,51.75,41.25,1148.06,-1
26.255,3,2,0.01,0.5,93,93,52,41,1158.31,-1
26.543,3,2,0.01,0.5,93,92,52.25,40.75,1168.5,-1
26.831,3,2,0.01,0.5,93,94,52,41,1178.75,1
27.119,3,2,0.01,0.5,93,92,52.25,40.75,1188.94,-1
27.406,3,2,0.01,0.5,93,93,52.25,40.75,1209.38,-1
27.758,3,2,0.01,0.5,93,94,52,41,1219.63,1
28.045,3,2,0.01,0.5,93,92,52.5,40.5,1229.75,-2
28.333,3,2,0.01,0.5,93,93,52.5,40.5,1239.88,0
28.621,3,2,0.01,0.5,93,93,52.5,40.5,1250,0
28.924,3,2,0.01,0.5,93,94,52.5,40.5,1270.19,1
29.26,3,2,0.01,0.5,93,96,51.75,41.25,1280.5,3
29.564,3,2,0.01,0.5,93,93,52.25,40.75,1290.69,-2
29.851,3,2,0.01,0.5,93,91,53,40,1300.69,-3
30.139,3,2,0.01,0.5,93,93,52.75,40.25,1320.81,0
30.475,3,2,0.01,0.5,93,92,53,40,1330.81,-1
30.779,3,2,0.01,0.5,93,95,52.5,40.5,1340.94,2
31.082,3,2,0.01,0.5,93,91,53.25,39.75,1350.88,-3
31.37,3,2,0.01,0.5,93,92,53.5,39.5,1360.75,-1
31.673,3,2,0.01,0.5,93,93,53.25,39.75,1380.63,0
32.009,3,2,0.01,0.5,93,94,53,40,1390.63,1
32.297,3,2,0.01,0.5,93,96,52.5,40.5,1400.75,2
32.585,3,2,0.01,0.5,93,91,53.5,39.5,1410.63,-4
