time,status,kp,ki,kd,setpoint,output,temperature,error,integral,derivative
0,3,2,0.0025,0.5,93,120,32.5,60.5,45.5625,-1
0.297,3,2,0.0025,0.5,93,122,32.25,60.75,60.75,1
0.585,3,2,0.0025,0.5,93,120,32.5,60.5,75.875,-1
0.872,3,2,0.0025,0.5,93,122,32,61,106.313,1
1.193,3,2,0.0025,0.5,93,121,32.25,60.75,121.5,-1
1.496,3,2,0.0025,0.5,93,121,32.25,60.75,136.688,0
1.784,3,2,0.0025,0.5,93,123,31.75,61.25,152,2
2.071,3,2,0.0025,0.5,93,119,32.5,60.5,167.125,-3
2.359,3,2,0.0025,0.5,93,122,32,61,197.625,0
2.695,3,2,0.0025,0.5,93,122,32,61,212.875,0
2.999,3,2,0.0025,0.5,93,122,32,61,228.125,0
3.286,3,2,0.0025,0.5,93,121,32.25,60.75,243.313,-1
3.574,3,2,0.0025,0.5,93,123,32,61,258.563,1
3.863,3,2,0.0025,0.5,93,121,32.5,60.5,288.875,-1
4.197,3,2,0.0025,0.5,93,123,32,61,304.125,2
4.5,3,2,0.0025,0.5,93,121,32.25,60.75,319.313,-1
4.789,3,2,0.0025,0.5,93,124,31.75,61.25,334.625,2
5.076,3,2,0.0025,0.5,93,120,32.5,60.5,349.75,-3
5.364,3,2,0.0025,0.5,93,121,32.5,60.5,380.063,-1
5.7,3,2,0.0025,0.5,93,122,32.25,60.75,395.25,1
6.003,3,2,0.0025,0.5,93,121,32.5,60.5,410.375,-1
6.292,3,2,0.0025,0.5,93,122,32.5,60.5,425.5,0
6.579,3,2,0.0025,0.5,93,124,32,61,440.75,2
6.866,3,2,0.0025,0.5,93,123,32,61,471.188,1
7.202,3,2,0.0025,0.5,93,121,32.5,60.5,486.313,-2
7.506,3,2,0.0025,0.5,93,123,32.25,60.75,501.5,1
7.794,3,2,0.0025,0.5,93,122,32.25,60.75,516.688,0
8.082,3,2,0.0025,0.5,93,121,32.5,60.5,531.813,-1
8.369,3,2,0.0025,0.5,93,122,32.5,60.5,562.063,0
8.705,3,2,0.0025,0.5,93,123,32.25,60.75,577.25,1
9.008,3,2,0.0025,0.5,93,122,32.25,60.75,592.438,0
9.296,3,2,0.0025,0.5,93,123,32.25,60.75,607.625,0
9.584,3,2,0.0025,0.5,93,124,32,61,622.875,1
9.872,3,2,0.0025,0.5,93,126,31.75,61.25,653.25,4
10.208,3,2,0.0025,0.5,93,120,32.75,60.25,668.313,-4
10.511,3,2,0.0025,0.5,93,124,32.25,60.75,683.5,2
10.799,3,2,0.0025,0.5,93,122,32.5,60.5,698.625,-1
11.087,3,2,0.0025,0.5,93,124,32,61,713.875,2
11.374,3,2,0.0025,0.5,93,123,32.5,60.5,744.063,1
11.711,3,2,0.0025,0.5,93,122,32.5,60.5,759.188,0
12.014,3,2,0.0025,0.5,93,121,32.75,60.25,774.25,-1
12.302,3,2,0.0025,0.5,93,122,32.75,60.25,789.313,0
12.606,3,2,0.0025,0.5,93,121,33,60,819.375,-1
12.957,3,2,0.0025,0.5,93,123,32.75,60.25,834.438,1
13.261,3,2,0.0025,0.5,93,123,32.5,60.5,849.563,1
13.549,3,2,0.0025,0.5,93,124,32.25,60.75,864.75,1
13.836,3,2,0.0025,0.5,93,121,32.75,60.25,879.813,-2
14.123,3,2,0.0025,0.5,93,122,33,60,909.813,0
14.46,3,2,0.0025,0.5,93,123,32.75,60.25,924.875,1
14.763,3,2,0.0025,0.5,93,121,33,60,939.875,-1
15.05,3,2,0.0025,0.5,93,122,33,60,954.875,0
15.339,3,2,0.0025,0.5,93,125,32.25,60.75,970.063,3
15.642,3,2,0.0025,0.5,93,124,32.5,60.5,1000.25,1
15.994,3,2,0.0025,0.5,93,121,33,60,1015.25,-2
16.281,3,2,0.0025,0.5,93,124,32.5,60.5,1030.38,2
16.569,3,2,0.0025,0.5,93,121,33,60,1045.38,-2
16.857,3,2,0.0025,0.5,93,121,33.25,59.75,1060.31,-1
17.144,3,2,0.0025,0.5,93,123,33,60,1090.25,1
17.496,3,2,0.0025,0.5,93,121,33.25,59.75,1105.19,-1
17.784,3,2,0.0025,0.5,93,121,33.5,59.5,1120.06,-1
18.072,3,2,0.0025,0.5,93,124,32.75,60.25,1135.13,3
18.359,3,2,0.0025,0.5,93,121,33.25,59.75,1150.06,-2
18.647,3,2,0.0025,0.5,93,122,33.25,59.75,1179.94,0
18.999,3,2,0.0025,0.5,93,121,33.5,59.5,1194.81,-1
19.303,3,2,0.0025,0.5,93,122,33.5,59.5,1209.69,0
19.59,3,2,0.0025,0.5,93,125,32.75,60.25,1224.75,3
19.877,3,2,0.0025,0.5,93,122,33.5,59.5,1254.5,0
20.214,3,2,0.0025,0.5,93,121,33.75,59.25,1269.31,-1
20.518,3,2,0.0025,0.5,93,122,33.5,59.5,1284.19,1
20.82,3,2,0.0025,0.5,93,122,33.5,59.5,1299.06,0
21.108,3,2,0.0025,0.5,93,121,33.75,59.25,1313.88,-1
21.395,3,2,0.0025,0.5,93,121,33.75,59.25,1343.56,-1
21.715,3,2,0.0025,0.5,93,122,33.5,59.5,1358.44,1
22.019,3,2,0.0025,0.5,93,121,33.75,59.25,1373.25,-1
22.307,3,2,0.0025,0.5,93,122,33.5,59.5,1388.13,1
22.594,3,2,0.0025,0.5,93,120,34,59,1402.88,-2
22.883,3,2,0.0025,0.5,93,119,34.25,58.75,1432.44,-3
23.218,3,2,0.0025,0.5,93,122,34,59,1447.19,1
23.523,3,2,0.0025,0.5,93,120,34.25,58.75,1461.88,-1
23.81,3,2,0.0025,0.5,93,121,34.25,58.75,1476.56,0
24.097,3,2,0.0025,0.5,93,122,34,59,1491.31,1
24.385,3,2,0.0025,0.5,93,120,34.5,58.5,1520.56,0
24.72,3,2,0.0025,0.5,93,121,34.25,58.75,1535.25,1
25.024,3,2,0.0025,0.5,93,121,34.25,58.75,1549.94,0
25.312,3,2,0.0025,0.5,93,120,34.5,58.5,1564.56,-1
25.6,3,2,0.0025,0.5,93,120,34.5,58.5,1579.19,0
25.887,3,2,0.0025,0.5,93,121,34.25,58.75,1608.56,0
26.223,3,2,0.0025,0.5,93,119,34.75,58.25,1623.13,-2
26.526,3,2,0.0025,0.5,93,119,35,58,1637.63,-1
26.815,3,2,0.0025,0.5,93,121,34.75,58.25,1652.19,1
27.102,3,2,0.0025,0.5,93,120,34.75,58.25,1666.75,0
27.39,3,2,0.0025,0.5,93,122,34.5,58.5,1695.81,3
27.726,3,2,0.0025,0.5,93,119,35,58,1710.31,-2
28.029,3,2,0.0025,0.5,93,121,34.75,58.25,1724.88,1
28.317,3,2,0.0025,0.5,93,119,35,58,1739.38,-1
28.604,3,2,0.0025,0.5,93,119,35.25,57.75,1753.81,-1
28.893,3,2,0.0025,0.5,93,118,35.5,57.5,1782.69,-2
29.228,3,2,0.0025,0.5,93,120,35.25,57.75,1797.13,1
29.532,3,2,0.0025,0.5,93,120,35.25,57.75,1811.56,0
29.82,3,2,0.0025,0.5,93,120,35.25,57.75,1826,0
30.107,3,2,0.0025,0.5,93,117,36,57,1840.25,-3
30.395,3,2,0.0025,0.5,93,118,36,57,1868.75,0
30.731,3,2,0.0025,0.5,93,120,35.5,57.5,1883.13,2
31.034,3,2,0.0025,0.5,93,119,35.5,57.5,1897.5,0
31.322,3,2,0.0025,0.5,93,116,36.25,56.75,1911.69,-3
31.609,3,2,0.0025,0.5,93,120,35.75,57.25,1926,2
