time,status,kp,ki,kd,setpoint,output,temperature,error,integral,derivative
0.751,3,2,0.00125,0.5,93,120,32.75,60.25,60.25,0
1.066,3,2,0.00125,0.5,93,122,32.25,60.75,75.4375,2
1.368,3,2,0.00125,0.5,93,119,32.75,60.25,90.5,-2
1.656,3,2,0.00125,0.5,93,120,32.75,60.25,105.563,0
1.945,3,2,0.00125,0.5,93,120,32.75,60.25,135.688,0
2.295,3,2,0.00125,0.5,93,120,32.75,60.25,150.75,0
2.583,3,2,0.00125,0.5,93,119,33,60,165.75,-1
2.871,3,2,0.00125,0.5,93,121,32.75,60.25,180.813,1
3.159,3,2,0.00125,0.5,93,120,32.75,60.25,195.875,0
3.446,3,2,0.00125,0.5,93,120,32.75,60.25,226.063,-1
3.797,3,2,0.00125,0.5,93,121,32.5,60.5,241.188,1
4.086,3,2,0.00125,0.5,93,121,32.5,60.5,256.313,0
4.375,3,2,0.00125,0.5,93,120,32.75,60.25,271.375,-1
4.677,3,2,0.00125,0.5,93,119,33,60,301.438,-1
5.013,3,2,0.00125,0.5,93,120,33,60,316.438,0
5.316,3,2,0.00125,0.5,93,121,32.75,60.25,331.5,1
5.607,3,2,0.00125,0.5,93,120,32.75,60.25,346.563,0
5.907,3,2,0.00125,0.5,93,121,32.5,60.5,361.688,1
6.196,3,2,0.00125,0.5,93,120,32.5,60.5,392,-1
6.548,3,2,0.00125,0.5,93,120,32.75,60.25,407.063,-1
6.835,3,2,0.00125,0.5,93,122,32.5,60.5,422.188,1
7.123,3,2,0.00125,0.5,93,121,32.5,60.5,437.313,0
7.41,3,2,0.00125,0.5,93,120,32.75,60.25,452.375,-1
7.698,3,2,0.00125,0.5,93,121,32.75,60.25,482.438,1
8.049,3,2,0.00125,0.5,93,122,32.5,60.5,497.563,1
8.338,3,2,0.00125,0.5,93,121,32.5,60.5,512.688,0
8.641,3,2,0.00125,0.5,93,122,32.25,60.75,527.875,1
8.929,3,2,0.00125,0.5,93,122,32.5,60.5,558.063,1
9.281,3,2,0.00125,0.5,93,119,33,60,573.063,-2
9.568,3,2,0.00125,0.5,93,120,33,60,588.063,0
9.855,3,2,0.00125,0.5,93,121,32.75,60.25,603.125,1
10.144,3,2,0.00125,0.5,93,121,32.75,60.25,618.188,0
10.431,3,2,0.00125,0.5,93,120,33,60,648.188,0
10.782,3,2,0.00125,0.5,93,120,33,60,663.188,0
11.07,3,2,0.00125,0.5,93,120,33,60,678.188,0
11.358,3,2,0.00125,0.5,93,122,32.5,60.5,693.313,2
11.645,3,2,0.00125,0.5,93,119,33,60,708.313,-2
11.934,3,2,0.00125,0.5,93,119,33,60,738.438,-2
12.285,3,2,0.00125,0.5,93,121,32.75,60.25,753.5,1
12.573,3,2,0.00125,0.5,93,119,33.25,59.75,768.438,-2
12.861,3,2,0.00125,0.5,93,121,33,60,783.438,1
13.148,3,2,0.00125,0.5,93,119,33.25,59.75,798.375,-1
13.436,3,2,0.00125,0.5,93,122,32.75,60.25,828.375,2
13.771,3,2,0.00125,0.5,93,120,33,60,843.375,-1
14.075,3,2,0.00125,0.5,93,123,32.5,60.5,858.5,2
14.363,3,2,0.00125,0.5,93,119,33.25,59.75,873.438,-3
14.651,3,2,0.00125,0.5,93,120,33.25,59.75,888.375,0
14.938,3,2,0.00125,0.5,93,120,33.25,59.75,918.313,-1
15.274,3,2,0.00125,0.5,93,119,33.5,59.5,933.188,-1
15.578,3,2,0.00125,0.5,93,121,33.25,59.75,948.125,1
15.866,3,2,0.00125,0.5,93,120,33.25,59.75,963.063,0
16.153,3,2,0.00125,0.5,93,120,33.25,59.75,978,0
16.441,3,2,0.00125,0.5,93,120,33.5,59.5,1007.75,0
16.777,3,2,0.00125,0.5,93,119,33.75,59.25,1022.56,-1
17.081,3,2,0.00125,0.5,93,120,33.5,59.5,1037.44,1
17.368,3,2,0.00125,0.5,93,120,33.5,59.5,1052.31,0
17.656,3,2,0.00125,0.5,93,119,33.75,59.25,1067.13,-1
17.943,3,2,0.00125,0.5,93,119,33.75,59.25,1096.75,0
18.279,3,2,0.00125,0.5,93,119,33.75,59.25,1111.56,0
18.584,3,2,0.00125,0.5,93,120,33.5,59.5,1126.44,1
18.887,3,2,0.00125,0.5,93,121,33.25,59.75,1141.38,1
19.175,3,2,0.00125,0.5,93,117,34,59,1156.13,-3
19.478,3,2,0.00125,0.5,93,119,33.75,59.25,1185.75,0
19.814,3,2,0.00125,0.5,93,119,34,59,1200.5,-1
20.102,3,2,0.00125,0.5,93,120,33.75,59.25,1215.31,1
20.39,3,2,0.00125,0.5,93,119,34,59,1230.06,-1
20.677,3,2,0.00125,0.5,93,118,34.25,58.75,1244.75,-1
20.965,3,2,0.00125,0.5,93,121,33.5,59.5,1274.38,2
21.316,3,2,0.00125,0.5,93,119,33.75,59.25,1289.19,-1
21.604,3,2,0.00125,0.5,93,121,33.5,59.5,1304.06,1
21.892,3,2,0.00125,0.5,93,119,33.75,59.25,1318.88,-1
22.18,3,2,0.00125,0.5,93,118,34.25,58.75,1333.56,-2
22.467,3,2,0.00125,0.5,93,119,34.25,58.75,1362.88,1
22.819,3,2,0.00125,0.5,93,118,34.5,58.5,1377.5,-1
23.123,3,2,0.00125,0.5,93,120,34,59,1392.25,2
23.426,3,2,0.00125,0.5,93,117,34.5,58.5,1406.88,-2
23.713,3,2,0.00125,0.5,93,116,34.75,58.25,1436.19,-3
24.033,3,2,0.00125,0.5,93,120,34.25,58.75,1450.88,2
24.337,3,2,0.00125,0.5,93,118,34.5,58.5,1465.5,-1
24.625,3,2,0.00125,0.5,93,116,35,58,1480,-2
24.912,3,2,0.00125,0.5,93,117,35,58,1494.5,0
25.201,3,2,0.00125,0.5,93,118,34.75,58.25,1523.56,1
25.536,3,2,0.00125,0.5,93,118,34.75,58.25,1538.13,0
25.841,3,2,0.00125,0.5,93,118,34.75,58.25,1552.69,0
26.144,3,2,0.00125,0.5,93,118,34.75,58.25,1567.25,0
26.431,3,2,0.00125,0.5,93,115,35.5,57.5,1581.63,-3
26.719,3,2,0.00125,0.5,93,118,35,58,1610.56,1
27.054,3,2,0.00125,0.5,93,116,35.5,57.5,1624.94,-2
27.343,3,2,0.00125,0.5,93,118,35.25,57.75,1639.38,1
27.645,3,2,0.00125,0.5,93,115,35.75,57.25,1653.69,-2
27.933,3,2,0.00125,0.5,93,119,35,58,1668.19,3
28.221,3,2,0.00125,0.5,93,114,35.75,57.25,1697.06,-4
28.541,3,2,0.00125,0.5,93,116,35.75,57.25,1711.38,0
28.845,3,2,0.00125,0.5,93,116,35.75,57.25,1725.69,0
29.133,3,2,0.00125,0.5,93,116,35.75,57.25,1740,0
29.42,3,2,0.00125,0.5,93,115,36,57,1754.25,-1
29.708,3,2,0.00125,0.5,93,115,36.25,56.75,1782.69,-1
30.043,3,2,0.00125,0.5,93,119,35.25,57.75,1797.13,4
30.347,3,2,0.00125,0.5,93,117,35.25,57.75,1811.56,0
30.635,3,2,0.00125,0.5,93,113,36.25,56.75,1825.75,-4
30.922,3,2,0.00125,0.5,93,113,36.75,56.25,1839.81,-2
31.211,3,2,0.00125,0.5,93,115,36.5,56.5,1868.06,0
31.546,3,2,0.00125,0.5,93,115,36.5,56.5,1882.19,0
