time,control,temperature
0,0,24.25
0.496,0,24.25
1.008,0,24.25
1.504,0,24.5
2,0,24.5
2.512,0,24
3.008,0,24
3.504,0,24.5
4,0,24.5
4.496,0,24.25
5.008,0,24.25
5.504,0,24.5
6,0,24.5
6.512,0,24
7.008,0,24
7.504,0,24
8,0,24
8.496,0,23.75
9.008,0,23.75
9.504,0,23.5
10,0,23.5
10.512,0,23.75
11.008,0,23.75
11.504,0,24
12,0,24
12.496,0,24
13.008,0,24
13.504,0,24
14,0,24
14.512,0,24.5
15.008,0,24.5
15.504,0,24.25
16,0,24.25
16.496,0,24.25
17.008,0,24.25
17.504,0,24.25
18,0,24.25
18.512,0,23.75
19.008,0,23.75
19.504,0,24.25
20,0,24.25
20.496,0,24.5
21.008,0,24.5
21.504,0,24.5
22,0,24.5
22.512,0,24.5
23.008,0,24.5
23.504,0,24.25
24,0,24.25
24.496,0,24.5
25.008,0,24.5
25.504,0,24.25
26,0,24.25
26.512,0,24
27.008,0,24
27.504,0,24.25
28,0,24.25
28.496,0,24.5
29.008,0,24.5
29.504,0,24.25
30,0,24.25
30.512,0,24
31.008,0,24
31.504,0,24
32,0,24
32.496,0,24
33.008,0,24
33.504,0,24.25
34,0,24.25
34.512,0,23.75
35.008,0,23.75
35.504,0,24.25
36,0,24.25
36.496,0,24.5
37.008,0,24.5
37.504,0,24.25
38,0,24.25
38.512,0,24.25
39.008,0,24.25
39.504,0,24.25
40,0,24.25
40.496,0,24.25
41.008,0,24.25
41.504,0,24.25
42,0,24.5
42.512,0,24.5
43.008,0,24.5
43.504,0,24.5
44,0,24.25
44.496,0,24.25
45.008,0,24.5
45.504,0,24.5
46,0,24.25
46.512,0,24.25
47.008,0,24.25
47.504,0,24.25
48,0,24.25
48.496,0,24.25
49.008,0,23.75
49.504,0,23.75
50,0,24
50.512,0,24
51.008,0,24.25
51.504,0,24.25
52,0,22.75
52.496,0,22.75
53.008,0,22.5
53.504,0,22.5
54,0,21.25
54.512,0,21.25
55.008,0,20.25
55.504,0,20.25
56,0,20.75
56.496,0,20.75
57.008,0,19
57.504,0,19
58,0,19.5
58.512,0,19.5
59.008,0,19.5
59.504,0,19.5
60,0,18.75
60.496,0,18.75
61.008,0,19.25
61.504,0,19.25
62,0,19.25
62.512,0,19.25
63.008,0,20
63.504,0,20
64,0,21.75
64.496,0,21.75
65.008,0,21.5
65.504,0,21.5
66,0,20.75
66.512,0,20.75
67.008,0,22.5
67.504,0,22.5
68,0,22.25
68.496,0,22.25
69.008,0,25
69.504,0,25
70,0,26.25
70.512,0,26.25
71.008,0,25.75
71.504,0,25.75
72,0,26
72.496,0,26
73.008,0,26
73.504,0,26
74,0,25.75
74.512,0,25.75
75.008,0,27
75.504,0,27
76,0,27.25
76.496,0,27.25
77.008,0,26.75
77.504,0,26.75
78,0,27.25
78.512,0,27.25
79.008,0,26.75
79.504,0,26.75
80,0,27.5
80.496,0,27.5
81.008,0,27.25
81.504,0,27.25
82,0,27.5
82.512,0,27.5
83.008,0,26.5
83.504,0,26.5
84,0,25.75
84.496,0,25.75
85.008,0,25
85.504,0,25
86,0,25
86.512,0,25
87.008,0,25.25
87.504,0,25.25
88,0,25
88.496,0,25
89.008,0,25.25
89.504,0,25.25
90,0,25.25
90.512,0,25.25
91.008,0,24.5
91.504,0,24.5
92,0,25
92.496,0,25
93.008,0,25.5
93.504,0,25.5
94,0,24.75
94.512,0,24.75
95.008,0,25.75
95.504,0,25.75
96,0,26
96.496,0,26
97.008,0,26.25
97.504,0,26.25
98,0,26.25
98.512,0,26.25
99.008,0,26.25
99.504,0,26.25
100,0,26.25
100.496,0,26.25
101.008,0,26
101.504,0,26
102,0,26
102.512,0,26
103.008,0,26
103.504,0,26
104,0,26
104.496,0,26
105.008,0,25.5
105.504,0,25.5
106,0,24.5
106.512,0,24.5
107.008,0,24
107.504,0,24
108,0,23.75
108.496,0,23.75
109.008,0,21.75
109.504,0,21.75
110,0,17.25
110.512,0,17.25
111.008,0,19
111.504,0,19
112,0,26.5
112.496,0,26.5
113.008,0,26
113.504,0,26
114,0,25.25
114.512,0,25.25
115.008,0,25.75
115.504,0,25.75
116,0,25.25
116.496,0,25.25
117.008,0,25.75
117.504,0,25.75
118,0,26
118.512,0,26
119.008,0,26
119.504,0,26
120,0,25.75
120.496,0,25.75
121.008,0,25.25
121.504,0,25.25
122,0,25.5
122.512,0,25.5
123.008,2,26
123.504,2,26
124,2,26
124.496,2,26
125.008,2,26
125.504,2,26
126,2,25.75
126.512,2,25.75
127.008,2,26.25
127.504,2,26.25
128,39,25.75
128.496,39,25.75
129.008,39,26
129.504,39,26
130,39,26
130.512,39,26
131.008,39,25.75
131.504,39,25.75
132,39,25.75
132.496,39,25.75
133.008,39,25.75
133.504,39,26
134,39,26
134.512,39,26
135.008,39,26
135.504,39,26.25
136,39,26.25
136.496,39,26
137.008,39,26
137.504,39,25.75
138,39,25.75
138.512,39,26.25
139.008,39,26.25
139.504,39,26.5
140,39,26.5
140.496,39,26.25
141.008,39,26.25
141.504,39,26
142,39,26
142.512,39,26.25
143.008,39,26.25
143.504,39,25.75
144,39,25.75
144.496,39,25.5
145.008,39,25.5
145.504,39,25.5
146,39,25.5
146.512,39,25.5
147.008,39,25.5
147.504,39,25.75
148,39,25.75
148.496,39,25.25
